avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
52.00,49.67,122.77,2053.00,7.00,5.33,158.67,1.93,1.33,0.00,5.33,3.33,10.00,0.67,0.00,1.33,1.33,3.33,19.51,0.00,0.00,214.67,9.33,12.44,26.49,245.33,2.67,0.44,22.22,0.47,0.44,0.00,3.56,4.44,1.33,0.44,0.00,0.89,1.78,0.44,7.82,0.00,0.00,13.78,21.00,28.00,59.60,552.00,6.00,1.00,50.00,1.06,1.00,0.00,8.00,10.00,3.00,1.00,0.00,2.00,4.00,1.00,17.60,0.00,0.00,31.00,66.00,59.00,162.50,2237.00,9.00,6.00,192.00,2.28,2.00,0.00,8.00,10.00,12.00,1.00,0.00,2.00,4.00,4.00,31.24,0.00,0.00,225.00,45.00,31.00,102.91,1685.00,3.00,5.00,142.00,1.22,1.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,3.00,13.64,0.00,0.00,194.00,45.00,59.00,102.91,2237.00,9.00,5.00,142.00,2.28,1.00,0.00,8.00,0.00,9.00,1.00,0.00,2.00,0.00,3.00,13.64,0.00,0.00,225.00
67.00,36.00,166.21,1520.70,6.00,6.00,175.50,1.59,1.50,0.00,4.50,7.00,13.00,0.50,0.00,0.50,0.00,1.00,39.31,0.00,0.00,227.00,11.00,27.00,28.88,520.70,4.00,0.00,39.50,0.70,0.50,0.00,4.50,7.00,11.00,0.50,0.00,0.50,0.00,1.00,24.29,0.00,0.00,2.00,22.00,54.00,57.76,1041.40,8.00,0.00,79.00,1.39,1.00,0.00,9.00,14.00,22.00,1.00,0.00,1.00,0.00,2.00,48.57,0.00,0.00,4.00,78.00,63.00,195.08,2041.40,10.00,6.00,215.00,2.28,2.00,0.00,9.00,14.00,24.00,1.00,0.00,1.00,0.00,2.00,63.59,0.00,0.00,229.00,56.00,9.00,137.33,1000.00,2.00,6.00,136.00,0.89,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,15.02,0.00,0.00,225.00,56.00,9.00,137.33,1000.00,2.00,6.00,136.00,0.89,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,15.02,0.00,0.00,225.00
34.50,56.83,80.63,2357.67,8.83,4.17,133.33,1.98,1.50,0.33,3.50,1.50,6.83,0.50,1.67,1.50,0.83,4.50,14.44,0.51,0.00,184.67,19.67,10.11,46.54,249.33,2.78,1.44,32.89,0.26,0.50,0.44,3.50,2.50,2.56,0.50,2.22,1.50,1.39,0.50,5.77,0.68,0.00,12.44,60.00,43.00,148.11,978.00,10.00,4.00,110.00,0.99,1.00,1.00,7.00,9.00,8.00,1.00,5.00,3.00,5.00,1.00,24.56,1.52,0.00,28.00,65.00,72.00,158.93,2607.00,13.00,6.00,194.00,2.20,2.00,1.00,7.00,9.00,11.00,1.00,5.00,3.00,5.00,5.00,31.74,1.52,0.00,194.00,5.00,29.00,10.81,1629.00,3.00,2.00,84.00,1.21,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,4.00,7.17,0.00,0.00,166.00,44.00,56.00,101.07,2607.00,8.00,5.00,146.00,2.20,1.00,0.00,7.00,0.00,8.00,1.00,0.00,3.00,0.00,4.00,13.51,0.00,0.00,194.00
74.75,56.75,186.70,1128.10,9.50,6.00,152.50,2.06,1.50,0.25,7.75,7.75,17.25,0.50,1.25,2.25,2.75,6.75,19.42,0.00,0.00,163.00,12.88,18.38,35.94,349.18,3.25,0.50,21.75,0.48,0.50,0.38,3.38,6.25,7.75,0.50,1.88,3.38,4.13,6.63,2.72,0.00,0.00,62.00,43.00,55.00,123.21,978.25,10.00,2.00,60.00,1.16,1.00,1.00,9.00,14.00,19.00,1.00,5.00,9.00,11.00,19.00,7.56,0.00,0.00,162.00,92.00,75.00,238.03,1408.00,13.00,7.00,196.00,2.54,2.00,1.00,10.00,14.00,25.00,1.00,5.00,9.00,11.00,20.00,24.26,0.00,0.00,225.00,49.00,20.00,114.82,429.75,3.00,5.00,136.00,1.38,1.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,16.70,0.00,0.00,63.00,79.00,66.00,196.97,1337.33,11.00,6.00,136.00,2.54,1.00,0.00,10.00,14.00,25.00,1.00,0.00,0.00,0.00,1.00,16.70,0.00,0.00,225.00
40.90,64.65,94.96,849.15,11.20,4.65,141.95,1.80,2.00,1.30,7.90,0.00,11.20,0.00,2.60,0.60,0.00,3.20,29.35,0.00,0.31,164.20,11.83,19.96,30.88,447.29,3.64,0.46,10.22,0.24,0.00,0.91,2.73,0.00,3.64,0.00,1.82,0.96,0.00,1.04,7.64,0.00,0.50,30.16,30.00,73.00,78.63,1262.92,12.00,1.00,50.00,0.96,0.00,2.00,10.00,0.00,12.00,0.00,4.00,3.00,0.00,4.00,27.53,0.00,1.55,84.00,50.00,80.00,118.71,1768.00,14.00,5.00,176.00,1.96,2.00,2.00,10.00,0.00,14.00,0.00,4.00,3.00,0.00,4.00,37.77,0.00,1.55,225.00,20.00,7.00,40.08,505.08,2.00,4.00,126.00,1.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,10.25,0.00,0.00,141.00,50.00,80.00,118.71,505.08,14.00,5.00,139.00,1.96,2.00,2.00,10.00,0.00,14.00,0.00,4.00,0.00,0.00,4.00,33.29,0.00,0.00,141.00
45.50,68.00,111.03,1487.44,11.50,4.50,128.50,1.95,1.50,0.50,4.50,7.00,13.50,0.50,2.50,0.50,0.00,3.50,15.75,0.00,0.00,225.00,32.50,5.00,84.05,553.97,1.50,1.50,7.50,0.34,0.50,0.50,4.50,7.00,10.50,0.50,2.50,0.50,0.00,1.50,0.73,0.00,0.00,0.00,65.00,10.00,168.10,1107.93,3.00,3.00,15.00,0.67,1.00,1.00,9.00,14.00,21.00,1.00,5.00,1.00,0.00,3.00,1.46,0.00,0.00,0.00,78.00,73.00,195.08,2041.40,13.00,6.00,136.00,2.28,2.00,1.00,9.00,14.00,24.00,1.00,5.00,1.00,0.00,5.00,16.48,0.00,0.00,225.00,13.00,63.00,26.98,933.47,10.00,3.00,121.00,1.61,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,15.02,0.00,0.00,225.00,13.00,63.00,26.98,933.47,10.00,3.00,121.00,1.61,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,15.02,0.00,0.00,225.00
48.17,59.67,115.34,2138.98,8.83,4.83,134.17,2.35,1.17,0.50,5.50,4.67,11.83,0.83,0.50,2.83,0.00,4.17,15.31,1.07,0.00,221.83,19.89,9.67,53.16,757.03,2.83,0.94,21.06,0.23,0.28,0.83,2.33,6.22,8.11,0.28,0.83,2.17,0.00,1.83,0.38,1.79,0.00,9.28,71.00,32.00,181.08,2832.95,9.00,4.00,83.00,0.88,1.00,3.00,9.00,14.00,19.00,1.00,3.00,5.00,0.00,4.00,0.92,6.44,0.00,35.00,78.00,82.00,195.08,2896.00,15.00,6.00,154.00,3.04,2.00,3.00,9.00,14.00,24.00,1.00,3.00,5.00,0.00,6.00,15.69,6.44,0.00,229.00,7.00,50.00,14.01,63.05,6.00,2.00,71.00,2.16,1.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,2.00,14.77,0.00,0.00,194.00,42.00,50.00,95.96,2896.00,6.00,5.00,154.00,2.16,1.00,0.00,5.00,0.00,6.00,1.00,0.00,5.00,0.00,6.00,15.69,0.00,0.00,229.00
10.00,50.67,20.67,1024.72,9.33,2.67,120.00,1.50,1.67,1.00,0.00,0.00,2.67,0.33,3.00,0.00,0.00,3.33,17.84,0.26,0.00,227.00,4.67,33.11,9.15,441.52,5.56,0.44,6.00,0.34,0.44,0.67,0.00,0.00,1.11,0.44,2.00,0.00,0.00,1.56,1.74,0.34,0.00,1.33,11.00,77.00,21.15,1233.31,13.00,1.00,17.00,0.92,1.00,2.00,0.00,0.00,3.00,1.00,5.00,0.00,0.00,4.00,3.96,0.77,0.00,4.00,14.00,78.00,28.09,1687.00,14.00,3.00,128.00,1.90,2.00,2.00,0.00,0.00,4.00,1.00,5.00,0.00,0.00,5.00,20.44,0.77,0.00,229.00,3.00,1.00,6.94,453.69,1.00,2.00,111.00,0.98,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,16.48,0.00,0.00,225.00,3.00,1.00,6.94,453.69,1.00,2.00,111.00,0.98,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,16.48,0.00,0.00,225.00
33.60,75.40,77.00,1138.00,12.80,4.00,126.00,2.23,1.80,2.40,2.60,2.80,9.60,0.20,1.20,1.40,0.00,2.80,22.36,1.32,0.00,132.80,21.12,15.12,53.93,899.57,3.84,1.20,25.20,0.42,0.32,1.92,3.12,4.48,4.32,0.32,0.96,2.24,0.00,1.68,4.11,1.06,0.00,75.36,57.00,40.00,148.88,2901.64,11.00,3.00,65.00,1.08,1.00,4.00,10.00,14.00,13.00,1.00,2.00,7.00,0.00,6.00,9.46,2.20,0.00,159.00,73.00,88.00,180.95,3290.00,16.00,6.00,170.00,2.58,2.00,4.00,10.00,14.00,19.00,1.00,2.00,7.00,0.00,7.00,25.79,2.20,0.00,229.00,16.00,48.00,32.07,388.36,5.00,3.00,105.00,1.50,1.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,16.33,0.00,0.00,70.00,16.00,88.00,32.07,388.36,16.00,3.00,105.00,2.58,2.00,4.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,2.00,25.79,2.20,0.00,70.00
34.28,64.59,80.85,1448.05,10.41,4.14,135.79,1.71,1.76,0.55,2.59,3.38,8.28,0.24,2.76,1.90,0.00,4.90,17.52,0.00,0.00,218.59,23.48,9.28,59.44,567.81,2.85,1.26,16.32,0.27,0.37,0.50,3.10,5.13,7.59,0.37,2.47,2.53,0.00,1.40,2.35,0.00,0.00,10.17,65.00,29.00,168.10,1194.53,9.00,3.00,54.00,0.95,1.00,1.00,9.00,14.00,21.00,1.00,5.00,8.00,0.00,6.00,8.18,0.00,0.00,31.00,78.00,73.00,195.08,2128.00,13.00,6.00,175.00,2.28,2.00,1.00,9.00,14.00,24.00,1.00,5.00,8.00,0.00,8.00,23.20,0.00,0.00,225.00,13.00,44.00,26.98,933.47,4.00,3.00,121.00,1.33,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,15.02,0.00,0.00,194.00,13.00,73.00,26.98,933.47,13.00,3.00,121.00,1.61,2.00,1.00,0.00,0.00,3.00,0.00,5.00,0.00,0.00,5.00,16.48,0.00,0.00,225.00
